392,128,128,128
639,65,65,65
863,139,139,139
588,82,82,82
691,93,93,93
602,214,214,214
451,147,147,147
395,97,97,97
510,62,62,62
157,119,119,119
545,83,83,83
194,42,42,42
386,42,42,42
656,92,92,92
364,232,232,232
714,134,134,134
454,136,136,136
343,95,95,95
142,116,116,116
270,62,62,62
499,151,151,151
536,48,48,48
84,54,54,54
541,77,77,77
273,117,117,117
798,120,120,120
780,96,96,96
88,50,50,50
870,58,58,58
435,101,101,101
471,177,177,177
428,174,174,174
378,58,58,58
686,82,82,82
534,32,32,32
626,164,164,164
424,122,122,122
743,111,111,111
259,135,135,135
249,173,173,173
876,52,52,52
128,54,54,54
456,138,138,138
335,87,87,87
202,104,104,104
807,125,125,125
611,101,101,101
442,148,148,148
172,144,144,144
917,93,93,93
266,92,92,92
650,134,134,134
214,152,152,152
317,55,55,55
711,47,47,47
708,126,126,126
256,172,172,172
532,70,70,70
84,52,52,52
492,180,180,180
343,59,59,59
624,112,112,112
186,76,76,76
290,202,202,202
446,174,174,174
179,167,167,167
498,120,120,120
692,88,88,88
538,142,142,142
940,114,114,114
450,180,180,180
769,167,167,167
590,126,126,126
513,85,85,85
854,94,94,94
543,149,149,149
216,120,120,120
121,61,61,61
393,131,131,131
358,136,136,136
544,126,126,126
871,215,215,215
120,120,120,120
394,132,132,132
231,133,133,133
671,133,133,133
314,118,118,118
504,82,82,82
33,33,33,33
117,117,117,117
342,148,148,148
621,147,147,147
431,53,53,53
360,170,170,170
337,87,87,87
412,96,96,96
121,57,57,57
257,115,115,115
512,62,62,62
419,125,125,125
376,212,212,212
387,127,127,127
763,43,43,43
652,40,40,40
593,115,115,115
438,158,158,158
422,166,166,166
717,87,87,87
694,104,104,104
81,65,65,65
453,79,79,79
663,147,147,147
7,7,7,7
531,209,209,209
395,67,67,67
866,88,88,88
571,151,151,151
83,67,67,67
340,106,106,106
57,37,37,37
724,132,132,132
129,91,91,91
221,147,147,147
279,71,71,71
519,147,147,147
756,60,60,60
626,152,152,152
512,122,122,122
73,69,69,69
445,145,145,145
461,111,111,111
520,120,120,120
463,217,217,217
634,110,110,110
54,40,40,40
129,83,83,83
175,109,109,109
275,117,117,117
425,75,75,75
502,82,82,82
593,113,113,113
590,116,116,116
458,52,52,52
363,99,99,99
418,104,104,104
475,99,99,99
485,93,93,93
749,93,93,93
488,204,204,204
572,40,40,40
649,145,145,145
467,7,7,7
272,138,138,138
644,194,194,194
707,95,95,95
617,147,147,147
718,58,58,58
405,59,59,59
254,112,112,112
348,90,90,90
199,87,87,87
111,101,101,101
418,194,194,194
69,43,43,43
589,127,127,127
303,59,59,59
731,131,131,131
830,92,92,92
591,129,129,129
524,88,88,88
570,112,112,112
566,170,170,170
546,70,70,70
485,55,55,55
219,85,85,85
352,172,172,172
545,93,93,93
518,132,132,132
461,141,141,141
856,250,250,250
292,148,148,148
442,126,126,126
528,70,70,70
274,32,32,32
65,59,59,59
649,111,111,111
789,97,97,97
88,88,88,88
571,165,165,165
852,70,70,70
305,205,205,205
229,67,67,67
710,112,112,112
696,132,132,132
408,78,78,78
76,74,74,74
115,85,85,85
364,106,106,106
509,23,23,23
797,107,107,107
102,102,102,102
320,144,144,144
133,53,53,53
653,129,129,129
